PRJ_NAME|EVENT|LAB_ID|SAMPLE_DT|ANALYSIS_METH|CONSTITUENT|CAS_ID|P_CODE|SAMPLE_ID|EXTRACTED_DATE|ANALYZED_DT|DILUTION|RESULT|UNITS|QUAL|LIMIT|QA|COMMENTS
Swan Island Lagoon|Phase I|ALS|10/09/18 11:37|ALS SOP|Total DDx_ND_zero|||511-0to28-100918|10/11/18 00:00|10/24/18 17:27|1|4|ug/Kg|T|0.13||
Swan Island Lagoon|Phase I|ALS|10/11/18 11:27|ALS SOP|Total DDx_ND_zero|||512-0to28-101118|10/24/18 00:00|11/07/18 07:11|1|5.31|ug/Kg|T|0.14||
Swan Island Lagoon|Phase I|ALS|10/13/18 13:13|ALS SOP|Total DDx_ND_zero|||513-0to26-101318|10/25/18 00:00|11/07/18 00:43|1|5|ug/Kg|T|0.15||
Swan Island Lagoon|Phase I|ALS|10/16/18 11:25|ALS SOP|Total DDx_ND_zero|||514-0to29-101618|10/29/18 00:00|11/07/18 19:11|1|4.9|ug/Kg|T|0.12||
Swan Island Lagoon|Phase I|ALS|10/20/18 12:05|ALS SOP|Total DDx_ND_zero|||A1-0to30-102018|11/07/18 00:00|11/26/18 21:57|1|0.094|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/14/18 12:58|ALS SOP|Total DDx_ND_zero|||B1-0to20-101418|10/25/18 00:00|11/07/18 03:39|1|1.024|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/08/18 12:16|ALS SOP|Total DDx_ND_zero|||B3-0to21-100818|10/11/18 00:00|10/24/18 17:10|1|3.26|ug/Kg|T|0.11||
Swan Island Lagoon|Phase I|ALS|10/08/18 15:07|ALS SOP|Total DDx_ND_zero|||B5-0to26-100818|10/11/18 00:00|10/24/18 16:52|1|3.83|ug/Kg|T|0.14||
Swan Island Lagoon|Phase I|ALS|10/09/18 14:13|ALS SOP|Total DDx_ND_zero|||B7-0to30-100918|10/11/18 00:00|10/24/18 18:20|1|4.82|ug/Kg|T|0.13||
Swan Island Lagoon|Phase I|ALS|10/10/18 11:53|ALS SOP|Total DDx_ND_zero|||D3-0to26-101018|10/24/18 00:00|11/07/18 05:25|1|8.1|ug/Kg|T|0.12||
Swan Island Lagoon|Phase I|ALS|10/09/18 11:37|ALS SOP|Total DDx_ND_zero|||D5-0to28-100918|10/11/18 00:00|10/24/18 17:45|1|6|ug/Kg|T|0.13||
Swan Island Lagoon|Phase I|ALS|10/21/18 16:00|ALS SOP|Total DDx_ND_zero|||D6-SC-0to1-102118|10/31/18 00:00|11/17/18 01:07|1|4|ug/Kg|T|0.12||
Swan Island Lagoon|Phase I|ALS|10/21/18 18:00|ALS SOP|Total DDx_ND_zero|||D6-SC-108to123-102118|10/31/18 00:00|11/16/18 19:50|1|0.094|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/21/18 16:15|ALS SOP|Total DDx_ND_zero|||D6-SC-1to2-102118|10/31/18 00:00|11/17/18 01:42|1|5.54|ug/Kg|T|0.11||
Swan Island Lagoon|Phase I|ALS|10/21/18 16:30|ALS SOP|Total DDx_ND_zero|||D6-SC-2to4-102118|10/31/18 00:00|11/16/18 20:07|1|15.9|ug/Kg|T|0.1||
Swan Island Lagoon|Phase I|ALS|10/21/18 16:50|ALS SOP|Total DDx_ND_zero|||D6-SC-40to64-102118|10/31/18 00:00|11/17/18 00:14|1|10.7|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/21/18 17:40|ALS SOP|Total DDx_ND_zero|||D6-SC-64to88-102118|10/31/18 00:00|11/16/18 23:56|1|1.05|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/21/18 17:50|ALS SOP|Total DDx_ND_zero|||D6-SC-88to108-102118|10/31/18 00:00|11/16/18 17:46|1|0.11|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/09/18 15:35|ALS SOP|Total DDx_ND_zero|||D7-0to28-100918|10/11/18 00:00|10/24/18 18:03|1|4.48|ug/Kg|T|0.16||
Swan Island Lagoon|Phase I|ALS|10/14/18 11:08|ALS SOP|Total DDx_ND_zero|||F1-0to23-101418|10/25/18 00:00|11/07/18 02:29|1|0.91|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/11/18 13:27|ALS SOP|Total DDx_ND_zero|||F3-0to27-101118|10/24/18 00:00|11/07/18 05:43|1|3.5|ug/Kg|T|0.12||
Swan Island Lagoon|Phase I|ALS|10/11/18 11:27|ALS SOP|Total DDx_ND_zero|||F5-0to28-101118|10/24/18 00:00|11/07/18 06:00|1|7.6|ug/Kg|T|0.14||
Swan Island Lagoon|Phase I|ALS|10/11/18 10:16|ALS SOP|Total DDx_ND_zero|||F7-0to27-101118|10/24/18 00:00|11/07/18 06:18|1|5|ug/Kg|T|0.13||
Swan Island Lagoon|Phase I|ALS|10/14/18 09:09|ALS SOP|Total DDx_ND_zero|||H1-0to24-101418|10/25/18 00:00|11/07/18 02:11|1|1.19|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/11/18 14:06|ALS SOP|Total DDx_ND_zero|||H3-0to28-101118|10/24/18 00:00|11/07/18 06:36|1|4.82|ug/Kg|T|0.15||
Swan Island Lagoon|Phase I|ALS|10/21/18 11:45|ALS SOP|Total DDx_ND_zero|||H3-SC-0to1-102118|10/31/18 00:00|11/16/18 18:57|1|15|ug/Kg|T|0.1||
Swan Island Lagoon|Phase I|ALS|10/21/18 11:55|ALS SOP|Total DDx_ND_zero|||H3-SC-1to2-102118|10/31/18 00:00|11/17/18 01:25|1|46.9|ug/Kg|T|0.096||
Swan Island Lagoon|Phase I|ALS|10/21/18 12:40|ALS SOP|Total DDx_ND_zero|||H3-SC-29to46-102118|10/31/18 00:00|11/16/18 18:04|1|1.29|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/21/18 12:00|ALS SOP|Total DDx_ND_zero|||H3-SC-2to29-102118|10/31/18 00:00|11/16/18 19:14|1|14|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/21/18 12:50|ALS SOP|Total DDx_ND_zero|||H3-SC-46to63-102118|10/31/18 00:00|11/17/18 00:49|1|0.13|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/21/18 13:50|ALS SOP|Total DDx_ND_zero|||H3-SC-63to85-102118|10/31/18 00:00|11/16/18 19:32|1|0.094|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/21/18 14:15|ALS SOP|Total DDx_ND_zero|||H3-SC-85to99-102118|10/31/18 00:00|11/16/18 18:22|1|0.094|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/21/18 14:30|ALS SOP|Total DDx_ND_zero|||H3-SC-99to114-102118|10/31/18 00:00|11/17/18 00:32|1|0.094|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/11/18 15:31|ALS SOP|Total DDx_ND_zero|||H5-0to29-101118|10/24/18 00:00|11/07/18 06:53|1|4.64|ug/Kg|T|0.15||
Swan Island Lagoon|Phase I|ALS|10/12/18 15:14|ALS SOP|Total DDx_ND_zero|||H7-0to24-101218|10/24/18 00:00|11/07/18 07:28|1|6.45|ug/Kg|T|0.12||
Swan Island Lagoon|Phase I|ALS|10/13/18 17:11|ALS SOP|Total DDx_ND_zero|||J1-0to20-101318|10/25/18 00:00|11/07/18 01:01|1|0.36|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/13/18 10:51|ALS SOP|Total DDx_ND_zero|||J3-0to26-101318|10/25/18 00:00|11/07/18 00:25|1|4.1|ug/Kg|T|0.11||
Swan Island Lagoon|Phase I|ALS|10/22/18 12:40|ALS SOP|Total DDx_ND_zero|||J3-SC-00to10-102218|11/05/18 00:00|11/21/18 17:57|1|2.87|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/22/18 12:50|ALS SOP|Total DDx_ND_zero|||J3-SC-10to20-102218|11/05/18 00:00|11/21/18 19:43|1|0.59|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/22/18 13:00|ALS SOP|Total DDx_ND_zero|||J3-SC-20to36-102218|11/05/18 00:00|11/21/18 16:47|1|14|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/22/18 14:25|ALS SOP|Total DDx_ND_zero|||J3-SC-36to45-102218|11/05/18 00:00|11/21/18 16:12|1|19.42|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/22/18 14:35|ALS SOP|Total DDx_ND_zero|||J3-SC-45to55-102218|11/05/18 00:00|11/21/18 15:54|1|1.1|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/22/18 14:45|ALS SOP|Total DDx_ND_zero|||J3-SC-55to76-102218|11/05/18 00:00|11/21/18 15:19|1|0.094|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/22/18 14:55|ALS SOP|Total DDx_ND_zero|||J3-SC-76to98-102218|11/05/18 00:00|11/21/18 16:29|1|0.094|ug/Kg|T|0.094||
Swan Island Lagoon|Phase I|ALS|10/13/18 09:36|ALS SOP|Total DDx_ND_zero|||J5-0to29-101318|10/25/18 00:00|11/07/18 00:08|1|4.71|ug/Kg|T|0.17||
Swan Island Lagoon|Phase I|ALS|10/22/18 16:00|ALS SOP|Total DDx_ND_zero|||J5-SC-00to10-102218|11/05/18 00:00|11/26/18 14:19|1|4.1|ug/Kg|T|0.13||
Swan Island Lagoon|Phase I|ALS|10/22/18 16:10|ALS SOP|Total DDx_ND_zero|||J5-SC-10to20-102218|11/05/18 00:00|11/21/18 18:50|1|3.42|ug/Kg|T|0.11||
