PRJ_NAME|EVENT|LAB_ID|SAMPLE_DT|ANALYSIS_METH|CONSTITUENT|CAS_ID|P_CODE|SAMPLE_ID|EXTRACTED_DATE|ANALYZED_DT|DILUTION|RESULT|UNITS|QUAL|LIMIT|QA|COMMENTS
Swan Island Lagoon|Phase I|TestAmeric|10/09/18 11:37|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||511-0to28-100918|10/26/18 00:00|10/30/18 07:34|1|0.017|ug/Kg|BJqT|0.0037||
Swan Island Lagoon|Phase I|TestAmeric|10/11/18 11:27|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||512-0to28-101118|10/18/18 00:00|10/24/18 15:01|1|0.023|ug/Kg|BEGJqT|0.015||
Swan Island Lagoon|Phase I|TestAmeric|10/13/18 13:13|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||513-0to26-101318|10/18/18 00:00|10/24/18 04:38|1|0.019|ug/Kg|BGJT|0.016||
Swan Island Lagoon|Phase I|TestAmeric|10/14/18 12:58|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||B1-0to20-101418|11/02/18 00:00|11/08/18 13:02|1|0.0015|ug/Kg|BJqT|0.00079||
Swan Island Lagoon|Phase I|TestAmeric|10/08/18 12:16|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||B3-0to21-100818|10/26/18 00:00|10/30/18 03:36|1|0.013|ug/Kg|BJqT|0.0054||
Swan Island Lagoon|Phase I|TestAmeric|10/08/18 15:07|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||B5-0to26-100818|10/26/18 00:00|10/30/18 04:24|1|0.017|ug/Kg|BJqT|0.0048||
Swan Island Lagoon|Phase I|TestAmeric|10/09/18 14:13|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||B7-0to30-100918|10/26/18 00:00|10/30/18 05:11|1|0.025|ug/Kg|BEJqT|0.006||
Swan Island Lagoon|Phase I|TestAmeric|10/10/18 11:53|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||D3-0to26-101018|10/26/18 00:00|10/30/18 08:22|1|0.0095|ug/Kg|BJqT|0.0024||
Swan Island Lagoon|Phase I|TestAmeric|10/09/18 11:37|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||D5-0to28-100918|10/26/18 00:00|10/30/18 05:59|1|0.015|ug/Kg|BJqT|0.0041||
Swan Island Lagoon|Phase I|TestAmeric|10/21/18 16:00|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||D6-SC-0to1-102118|11/10/18 00:00|11/14/18 13:51|1|0.016|ug/Kg|BEJqT|0.0025||
Swan Island Lagoon|Phase I|TestAmeric|10/21/18 18:00|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||D6-SC-108to123-102118|11/08/18 00:00|11/13/18 16:39|1|0.00027|ug/Kg|BJqT|1e-04||
Swan Island Lagoon|Phase I|TestAmeric|10/21/18 16:15|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||D6-SC-1to2-102118|11/08/18 00:00|11/13/18 15:07|1|0.026|ug/Kg|BEJqT|0.0042||
Swan Island Lagoon|Phase I|TestAmeric|10/21/18 16:30|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||D6-SC-2to4-102118|11/08/18 00:00|11/13/18 17:25|1|0.025|ug/Kg|BEJqT|0.0031||
Swan Island Lagoon|Phase I|TestAmeric|10/21/18 16:50|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||D6-SC-40to64-102118|11/08/18 00:00|11/13/18 14:21|1|0.015|ug/Kg|BEJqT|0.0021||
Swan Island Lagoon|Phase I|TestAmeric|10/21/18 17:40|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||D6-SC-64to88-102118|11/08/18 00:00|11/13/18 15:53|1|0.0012|ug/Kg|BJqT|0.00023||
Swan Island Lagoon|Phase I|TestAmeric|10/21/18 17:50|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||D6-SC-88to108-102118|11/08/18 00:00|11/11/18 17:45|1|5e-04|ug/Kg|BJqT|0.00011||
Swan Island Lagoon|Phase I|TestAmeric|10/09/18 15:35|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||D7-0to28-100918|10/26/18 00:00|10/30/18 06:47|1|0.042|ug/Kg|BEGJT|0.011||
Swan Island Lagoon|Phase I|TestAmeric|10/14/18 11:08|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||F1-0to23-101418|11/02/18 00:00|11/08/18 12:16|1|0.0027|ug/Kg|BJqT|0.00091||
Swan Island Lagoon|Phase I|TestAmeric|10/11/18 13:27|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||F3-0to27-101118|10/18/18 00:00|10/24/18 16:32|1|0.013|ug/Kg|BGJqT|0.0093||
Swan Island Lagoon|Phase I|TestAmeric|10/11/18 11:27|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||F5-0to28-101118|10/18/18 00:00|10/24/18 15:46|1|0.017|ug/Kg|BGJqT|0.012||
Swan Island Lagoon|Phase I|TestAmeric|10/11/18 10:16|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||F7-0to27-101118|10/18/18 00:00|10/24/18 14:15|1|0.052|ug/Kg|BEGJqT|0.031||
Swan Island Lagoon|Phase I|TestAmeric|10/14/18 09:09|CWA1613B|PDI_CALC_TCDDTEQ_ND_zero|||H1-0to24-101418|10/18/18 00:00|10/24/18 02:22|1|0.0042|ug/Kg|BJqT|0.003||
