PRJ_NAME|EVENT|LAB_ID|SAMPLE_DT|ANALYSIS_METH|CONSTITUENT|CAS_ID|P_CODE|SAMPLE_ID|EXTRACTED_DATE|ANALYZED_DT|DILUTION|RESULT|UNITS|QUAL|LIMIT|QA|COMMENTS
Swan Island Lagoon|Phase I|ALS|10/09/18 11:37|SW8270D-SIM|PDI_CALC_TOTAL_HPAH_ND_zero||34376|511-0to28-100918|10/17/18 00:00|10/30/18 12:47|5|1700|ug/Kg|DT|3.4||
Swan Island Lagoon|Phase I|ALS|10/11/18 11:27|SW8270D-SIM|PDI_CALC_TOTAL_HPAH_ND_zero||34376|512-0to28-101118|10/24/18 00:00|11/02/18 21:42|1|1100|ug/Kg|T|0.7||
Swan Island Lagoon|Phase I|ALS|10/13/18 13:13|SW8270D-SIM|PDI_CALC_TOTAL_HPAH_ND_zero||34376|513-0to26-101318|10/26/18 00:00|11/03/18 02:05|5|1200|ug/Kg|DT|3.8||
Swan Island Lagoon|Phase I|ALS|10/16/18 11:25|SW8270D-SIM|PDI_CALC_TOTAL_HPAH_ND_zero||34376|514-0to29-101618|10/29/18 00:00|11/06/18 14:42|5|880|ug/Kg|DT|3.1||
Swan Island Lagoon|Phase I|ALS|10/20/18 12:05|SW8270D-SIM|PDI_CALC_TOTAL_HPAH_ND_zero||34376|A1-0to30-102018|11/07/18 00:00|11/13/18 15:32|1|0.79|ug/Kg|JT|0.46||
Swan Island Lagoon|Phase I|ALS|10/14/18 12:58|SW8270D-SIM|PDI_CALC_TOTAL_HPAH_ND_zero||34376|B1-0to20-101418|10/26/18 00:00|11/05/18 15:42|5|990|ug/Kg|DT|1.7||
Swan Island Lagoon|Phase I|ALS|10/08/18 12:16|SW8270D-SIM|PDI_CALC_TOTAL_HPAH_ND_zero||34376|B3-0to21-100818|10/17/18 00:00|10/30/18 12:18|5|1600|ug/Kg|DT|2.9||
Swan Island Lagoon|Phase I|ALS|10/08/18 15:07|SW8270D-SIM|PDI_CALC_TOTAL_HPAH_ND_zero||34376|B5-0to26-100818|10/17/18 00:00|10/30/18 11:49|5|1300|ug/Kg|DT|3.6||
Swan Island Lagoon|Phase I|ALS|10/09/18 14:13|SW8270D-SIM|PDI_CALC_TOTAL_HPAH_ND_zero||34376|B7-0to30-100918|10/17/18 00:00|10/30/18 13:46|5|910|ug/Kg|DT|3.3||
Swan Island Lagoon|Phase I|ALS|10/10/18 11:53|SW8270D-SIM|PDI_CALC_TOTAL_HPAH_ND_zero||34376|D3-0to26-101018|10/24/18 00:00|11/05/18 12:40|5|1500|ug/Kg|DT|3.2||
Swan Island Lagoon|Phase I|ALS|10/09/18 11:37|SW8270D-SIM|PDI_CALC_TOTAL_HPAH_ND_zero||34376|D5-0to28-100918|10/17/18 00:00|10/30/18 07:41|10|1400|ug/Kg|DT|6.8||
Swan Island Lagoon|Phase I|ALS|10/21/18 16:00|SW8270D-SIM|PDI_CALC_TOTAL_HPAH_ND_zero||34376|D6-SC-0to1-102118|11/01/18 00:00|11/06/18 15:39|5|1200|ug/Kg|DT|3||
Swan Island Lagoon|Phase I|ALS|10/21/18 18:00|SW8270D-SIM|PDI_CALC_TOTAL_HPAH_ND_zero||34376|D6-SC-108to123-102118|11/01/18 00:00|11/07/18 07:56|1|3.9|ug/Kg|JT|0.36||
Swan Island Lagoon|Phase I|ALS|10/21/18 16:15|SW8270D-SIM|PDI_CALC_TOTAL_HPAH_ND_zero||34376|D6-SC-1to2-102118|11/01/18 00:00|11/06/18 16:37|10|2500|ug/Kg|DT|5.4||
Swan Island Lagoon|Phase I|ALS|10/21/18 16:30|SW8270D-SIM|PDI_CALC_TOTAL_HPAH_ND_zero||34376|D6-SC-2to4-102118|11/01/18 00:00|11/07/18 14:02|5|1600|ug/Kg|DT|2.6||
