PRJ_NAME|EVENT|LAB_ID|SAMPLE_DT|ANALYSIS_METH|CONSTITUENT|CAS_ID|P_CODE|SAMPLE_ID|EXTRACTED_DATE|ANALYZED_DT|DILUTION|RESULT|UNITS|QUAL|LIMIT|QA|COMMENTS
Swan Island Lagoon|Phase I|TestAmeric|10/09/18 11:37|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||511-0to28-100918|10/23/18 00:00|10/31/18 23:19|5|40|ng/g|BCJqT|0.14||
Swan Island Lagoon|Phase I|TestAmeric|10/11/18 11:27|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||512-0to28-101118|10/19/18 00:00|10/28/18 06:39|5|40|ng/g|BCJqT|0.057||
Swan Island Lagoon|Phase I|TestAmeric|10/13/18 13:13|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||513-0to26-101318|10/19/18 00:00|10/27/18 17:32|10|40|ng/g|BCJqT|0.045||
Swan Island Lagoon|Phase I|TestAmeric|10/14/18 12:58|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||B1-0to20-101418|11/08/18 00:00|11/13/18 17:05|1|40|ng/g|BCJqT|0.0028||
Swan Island Lagoon|Phase I|TestAmeric|10/08/18 12:16|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||B3-0to21-100818|10/23/18 00:00|11/01/18 12:45|10|40|ng/g|BCJqST|0.037||
Swan Island Lagoon|Phase I|TestAmeric|10/08/18 15:07|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||B5-0to26-100818|10/23/18 00:00|10/31/18 19:13|3|40|ng/g|BCJqT|0.026||
Swan Island Lagoon|Phase I|TestAmeric|10/09/18 14:13|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||B7-0to30-100918|10/23/18 00:00|10/31/18 20:15|2|40|ng/g|BCGJqT|0.045||
Swan Island Lagoon|Phase I|TestAmeric|10/10/18 11:53|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||D3-0to26-101018|10/23/18 00:00|11/01/18 05:10|2|40|ng/g|BCJqT|0.017||
Swan Island Lagoon|Phase I|TestAmeric|10/09/18 11:37|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||D5-0to28-100918|10/23/18 00:00|10/31/18 21:16|5|40|ng/g|BCJqT|0.12||
Swan Island Lagoon|Phase I|TestAmeric|10/09/18 15:35|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||D7-0to28-100918|10/23/18 00:00|10/31/18 22:18|3|40|ng/g|BCJqT|0.036||
Swan Island Lagoon|Phase I|TestAmeric|10/14/18 11:08|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||F1-0to23-101418|11/08/18 00:00|11/13/18 16:04|1|40|ng/g|BCJqT|0.0027||
Swan Island Lagoon|Phase I|TestAmeric|10/11/18 13:27|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||F3-0to27-101118|10/19/18 00:00|10/28/18 08:42|3|40|ng/g|BCGJqT|0.044||
Swan Island Lagoon|Phase I|TestAmeric|10/11/18 11:27|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||F5-0to28-101118|10/19/18 00:00|10/30/18 08:04|20|40|ng/g|BCGJqT|0.48||
Swan Island Lagoon|Phase I|TestAmeric|10/11/18 10:16|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||F7-0to27-101118|10/19/18 00:00|10/29/18 04:44|5|40|ng/g|BCJqT|0.22||
Swan Island Lagoon|Phase I|TestAmeric|10/14/18 09:09|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||H1-0to24-101418|10/19/18 00:00|10/27/18 14:28|5|40|ng/g|BCJqT|0.012||
Swan Island Lagoon|Phase I|TestAmeric|10/11/18 14:06|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||H3-0to28-101118|11/01/18 00:00|11/12/18 16:25|3|40|ng/g|BCJqT|0.03||
Swan Island Lagoon|Phase I|TestAmeric|10/11/18 15:31|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||H5-0to29-101118|10/19/18 00:00|10/28/18 04:35|3|40|ng/g|BCJqT|0.044||
Swan Island Lagoon|Phase I|TestAmeric|10/12/18 15:14|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||H7-0to24-101218|10/19/18 00:00|10/29/18 02:40|2|40|ng/g|BCGJqT|0.87||
Swan Island Lagoon|Phase I|TestAmeric|10/13/18 17:11|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||J1-0to20-101318|10/19/18 00:00|10/27/18 15:29|3|40|ng/g|BCJqT|0.0056||
Swan Island Lagoon|Phase I|TestAmeric|10/13/18 10:51|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||J3-0to26-101318|10/19/18 00:00|10/27/18 18:34|5|40|ng/g|BCJqT|0.033||
Swan Island Lagoon|Phase I|TestAmeric|10/13/18 09:36|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||J5-0to29-101318|10/19/18 00:00|10/27/18 16:31|3|40|ng/g|BCJqT|0.03||
Swan Island Lagoon|Phase I|TestAmeric|10/12/18 15:52|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||J7-0to26-101218|10/19/18 00:00|10/29/18 03:42|5|40|ng/g|BCGJqT|0.35||
Swan Island Lagoon|Phase I|TestAmeric|10/15/18 10:10|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||L1-0to30-101518|10/23/18 00:00|10/31/18 17:10|1|40|ng/g|BCJqT|0.0015||
Swan Island Lagoon|Phase I|TestAmeric|10/13/18 14:33|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||L3-0to20-101318|10/19/18 00:00|10/27/18 19:36|3|40|ng/g|BCJqT|0.02||
Swan Island Lagoon|Phase I|TestAmeric|10/13/18 13:13|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||L5-0to26-101318|10/19/18 00:00|10/27/18 20:37|10|40|ng/g|BCJqT|0.061||
Swan Island Lagoon|Phase I|TestAmeric|10/13/18 11:36|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||L7-0to29-101318|10/19/18 00:00|10/28/18 01:31|5|40|ng/g|BCJqT|0.068||
Swan Island Lagoon|Phase I|TestAmeric|10/15/18 11:40|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||N1-0to30-101518|10/23/18 00:00|11/01/18 07:13|1|40|ng/g|BCJqT|0.0015||
Swan Island Lagoon|Phase I|TestAmeric|10/15/18 08:46|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||N3-0to26-101518|10/23/18 00:00|11/01/18 06:11|3|40|ng/g|BCJqT|0.018||
Swan Island Lagoon|Phase I|TestAmeric|10/15/18 13:50|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||P1-0to30-101518|10/23/18 00:00|11/01/18 13:48|10|40|ng/g|BCJqT|0.011||
Swan Island Lagoon|Phase I|TestAmeric|10/16/18 10:50|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||P3-0to29-101618|10/23/18 00:00|11/01/18 16:53|5|40|ng/g|BCJqT|0.02||
Swan Island Lagoon|Phase I|TestAmeric|10/16/18 09:16|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||P5-0to26-101618|10/23/18 00:00|11/01/18 15:51|3|40|ng/g|BCGJqT|0.056||
Swan Island Lagoon|Phase I|TestAmeric|10/15/18 14:37|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||R1-0to30-101518|10/23/18 00:00|11/01/18 09:16|2|40|ng/g|BCJqT|0.0022||
Swan Island Lagoon|Phase I|TestAmeric|10/17/18 09:28|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||R3-0to33-101718|11/01/18 00:00|11/12/18 19:22|1|40|ng/g|BCGJqT|0.015||
Swan Island Lagoon|Phase I|TestAmeric|10/16/18 12:09|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||R5-0to25-101618|10/23/18 00:00|11/05/18 01:29|3|40|ng/g|BCJqT|0.026||
Swan Island Lagoon|Phase I|TestAmeric|10/15/18 15:35|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||T1-0to30-101518|10/23/18 00:00|11/01/18 14:50|1|40|ng/g|BCJqT|0.0011||
Swan Island Lagoon|Phase I|TestAmeric|10/16/18 16:30|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||T3-0to28-101618|10/23/18 00:00|11/01/18 18:56|3|40|ng/g|BCJqT|0.013||
Swan Island Lagoon|Phase I|TestAmeric|10/16/18 15:13|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||T5-0to26-101618|10/23/18 00:00|11/05/18 00:27|3|40|ng/g|BCJqT|0.027||
Swan Island Lagoon|Phase I|TestAmeric|10/16/18 14:00|E1668A|PDI_CALC_TOTAL_PCB_ND_zero|||T7-0to31-101618|10/23/18 00:00|11/01/18 17:54|5|40|ng/g|BCJqT|0.027||
Swan Island Lagoon|Phase I|TestAmeric|10/09/18 11:37|E1668A|PDI_CALC_TOTAL_PCB_ND_half|||511-0to28-100918|10/23/18 00:00|10/31/18 23:19|5|40|ng/g|BCJqT|0.14||
Swan Island Lagoon|Phase I|TestAmeric|10/11/18 11:27|E1668A|PDI_CALC_TOTAL_PCB_ND_half|||512-0to28-101118|10/19/18 00:00|10/28/18 06:39|5|40|ng/g|BCJqT|0.057||
